O_Trip,D_Trip,T_Trip,Capacity,Int_points,Grocery,School,Hospital,Transit,Pop,Pec_Whi,Med_age,HH_2010,HH_ACS,Pec_01_V,Income,T_work,Emp_rate,WBN_len,WBN_des,BN_len,BN_des,Crash,Crime,UndSer_Lvl,UndSer_Cod
551,533,1084,19,86,0,5,0,8,2067.899902,1.5458,29.9232006,846.7340088,1017.039978,90.8687973,27393.80078,1177.160034,71.7646027,4094.99645,81.46736588,3615.723564,71.93253475,26,198,Moderately served,0
2103,2117,4220,15,100,0,3,0,6,1970.410034,47.3110008,41.5261002,789.2030029,745.5939941,75.9770966,56010.60156,926.8839722,86.0418015,5064.57972,100.7566121,1091.689093,21.71846443,117,97,Moderately served,0
1722,1661,3383,15,112,1,6,0,6,2999.27002,33.077301,39.7360992,1227.119995,1186.140015,73.1913986,31738.5,1536.959961,82.9417038,6896.050683,137.1925692,2723.530155,54.18291085,122,172,Moderately served,0
1258,1239,2497,11,124,2,4,0,4,3678.699951,24.6958008,38.4497986,1435.180054,1305.229981,74.8003998,28734.90039,1835.959961,84.2214966,6829.733428,135.8732294,2985.534517,59.39532202,217,136,Moderately served,0
124,127,251,19,19,0,3,1,11,1382.369995,0.378245,34.8801003,535.0859985,633.9550171,90.1930008,26699.5,694.9210205,76.4389038,2125.091828,42.27735863,1149.69062,22.87236814,62,236,Moderately served,0
84,57,141,15,57,2,2,0,5,1187.930054,39.5763016,38.949501,460.8919983,465.5409851,73.6156998,39599.39844,573.789978,80.1283035,4847.158159,96.43114762,0,0,65,216,Moderately served,0
95,136,231,15,58,1,0,1,10,1275.930054,67.3604965,34.3325996,415.1539917,445.4179993,61.9550018,60953.69922,812.8939819,81.3693008,4165.054189,82.8611203,723.3404831,14.39040168,19,105,Moderately served,0
662,665,1327,15,33,1,2,1,7,1629.099976,9.4117699,31.9748001,555.6710205,682.3610229,78.4007034,32177.19922,777.3829956,80.8012009,3596.754671,71.55516063,2377.175498,47.2924039,45,320,Moderately served,0
3552,3666,7218,15,104,1,3,0,7,1740.930054,43.2448006,33.6302986,823.4310303,846.8690186,88.3646011,70285,1140.079956,94.9821014,4644.043586,92.39031159,2693.284784,53.58119832,64,232,Moderately served,0
824,978,1802,15,56,4,3,0,13,1542.569946,17.7814007,29.5638008,488.0610046,468.8190002,66.3075027,36789.10156,646.4370117,86.7391968,5761.825493,114.6278761,2605.801278,51.84076926,50,485,Moderately served,0
1723,1822,3545,15,323,4,3,4,6,1680.439941,36.5032005,30.4510994,566.9879761,575.9489746,75.4007034,33072.19922,766.7260132,86.4561005,10184.43554,202.6129074,3168.543815,63.03617631,36,235,Moderately served,0
237,207,444,15,71,2,8,0,4,791.0319824,9.8629303,30.9937,261.7160034,283.1740112,87.3014984,25395.80078,304.3680115,82.1297989,4658.478453,92.67748415,819.655975,16.30653751,28,156,Moderately served,0
5117,5070,10187,15,54,3,10,1,8,5132.839844,77.0498962,32.9651985,2363.360107,2293.300049,74.6959991,55841.19922,3508.330078,94.2481003,5285.014796,105.1420286,1544.358014,30.72402648,47,403,Moderately served,0
991,1070,2061,19,50,3,4,1,6,2836.060059,6.3524799,31.8139,1138.670044,1134.550049,90.6703033,21699,748.4520264,79.6544037,3576.741739,71.157016,2022.810286,40.242532,57,475,Underserved,-1
5595,4093,9688,35,88,0,0,1,7,1455.630005,59.8516998,33.7863998,610.0960083,657.434021,72.8339005,56437,961.3099976,88.4210968,4384.995248,87.23670865,2196.340274,43.69480141,38,92,Moderately served,0
33,33,66,15,57,1,3,0,9,2478.02002,0.611261,39.3529015,1064.829956,1023.719971,77.8318024,34930.39844,1317.109985,80.9698029,5937.311408,118.1190574,2322.159015,46.19788573,42,461,Moderately served,0
57,69,126,15,51,4,0,0,15,2054.120117,0.74317,36.5984001,721.5880127,695.2620239,88.4657974,20403,853.6519775,67.476799,3634.450392,72.30509317,2452.320205,48.78736034,138,391,Moderately served,0
6903,6996,13899,15,85,8,5,1,4,1757.810059,66.6162033,33.8251991,853.96698,855.7659912,79.7857971,111454,1213.569946,96.3592987,6662.900663,132.554197,1683.736708,33.49687749,89,372,Moderately served,0
9549,8624,18173,31,134,6,12,2,14,5240.259766,62.6669006,30.4566994,2631.929932,2763.030029,90.728302,86117.70313,3877.25,93.911499,5808.263456,115.55173,4085.837048,81.28514536,189,575,Moderately served,0
109,95,204,11,42,7,3,0,12,5356.450195,1.9237601,36.7150002,2312.879883,2006.880005,87.7220993,26632.40039,1882.680054,77.778801,5316.973072,105.7778183,1316.275265,26.18646436,60,915,Underserved,-1
80,81,161,11,34,5,5,0,5,3776.060059,1.2393301,34.9609985,1468.349976,1246.099976,84.2164001,25892.09961,1299.589966,78.0589981,5134.37526,102.1451503,728.006941,14.48323791,30,637,Moderately served,0
103,101,204,15,73,1,3,1,9,2340.669922,1.08843,40.5997009,946.4450073,858.5230103,75.0197983,34504.30078,965.4699707,85.0878983,6853.975533,136.3555107,3111.55648,61.90244931,43,297,Moderately served,0
4447,4374,8821,15,155,2,7,5,9,6772.890137,63.6413994,33.5112,3706.879883,3859.189941,90.6390991,78729.39844,4987.669922,96.2825012,5019.88231,99.86738542,1912.079955,38.03962206,70,705,Moderately served,0
10573,11047,21620,19,90,2,4,1,8,3554.919922,68.4324036,32.743,1861.540039,1868.670044,76.1484985,116913,2623.459961,95.0074005,5934.568424,118.0644875,3964.304004,78.86732227,62,329,Moderately served,0
23232,22882,46114,39,894,4,34,17,40,2531.75,60.1147995,31.4792004,1193.469971,1276.689941,95.7013016,82781.5,1633.619995,94.7453995,11153.2551,221.8869601,7302.675322,145.2821094,292,3694,Moderately served,0
5977,5894,11871,15,132,2,6,2,9,3958.229981,58.0377998,31.9139004,1797.579956,1688.119995,76.2143021,55897.39844,2681.26001,85.6699982,7196.068942,143.1612429,2394.951309,47.64604241,192,320,Moderately served,0
